sample_id,repo,commit_hash,file_path,entity_type,entity_name,entity_signature,javadoc_change_type,method_change_type,quality,issue_id,issue_summary
sample_0001,apache/commons-lang,7489d6e21334673dc56399de7decaaa00f11ebcf,src/main/java/org/apache/commons/lang3/CharSet.java,method,getCharRanges,Set<CharRange> getCharRanges(),JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,,CharSet now maintains iteration order
sample_0002,apache/commons-lang,1418a770ba436d15693c3bb29a67e501c2008274,src/main/java/org/apache/commons/lang3/builder/RecursiveToStringStyle.java,method,accept,protected boolean accept(final Class<?> clazz),JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,LANG-1452,RecursiveToStringStyle and MultilineRecursiveToStringStyle shouldn't recurse into a java.math.BigDecimal
sample_0003,apache/commons-lang,8089a0c2d3207ed26531f877352336baf1c6c5bb,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,method,isParsable,public static boolean isParsable(final String str),JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,LANG-1806,"NumberUtils.isParsable(""1.f"") should return true"
sample_0004,apache/commons-lang,623235ebca46bea1a6e8cc02b7d7084c1698ab80,src/main/java/org/apache/commons/lang3/ArrayUtils.java,method,shuffle,"public static void shuffle(final boolean[] array, final Random random)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,LANG-1811,ArrayUtils.shuffle() throws NullPointerException for null array input.
sample_0005,apache/commons-lang,7cc1ac1c30d9ad2b285d11ed26b121e1f794e57e,src/main/java/org/apache/commons/lang3/ClassUtils.java,method,toCanonicalName,private static String toCanonicalName(final String className),JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,#1494,ClassUtils now throws `IllegalArgumentException` when array is greater than JVM spec limit (255)
sample_0006,apache/commons-lang,9e8bf567e48cc647f35ccb7d24e4bc078784cc3c,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,method,compare,"@Deprecated public static int compare(final short x, final short y)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,,"Deprecate NumberUtils.compare(short, short) in favor of Short.compare(short, short)"
sample_0007,apache/commons-lang,611887f501ed12905504af3c7cb7138c15888c79,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,method,compare,"@Deprecated public static int compare(final long x, final long y)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,,"Deprecate NumberUtils.compare(long, long) in favor of Long.compare(long long)"
sample_0008,apache/commons-lang,1d9093c5062806db6c13ec635648c71aeac6a09f,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,method,compare,"@Deprecated public static int compare(final int x, final int y)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,,"Deprecate NumberUtils.compare(int, int) in favor of Integer.compare(int int)"
sample_0009,apache/commons-lang,a1ea0e4412ce551a3ca605024c005a293d40acb3,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,method,compare,"@Deprecated public static int compare(final byte x, final byte y)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,,"Deprecate NumberUtils.compare(byte, byte) in favor of Byte.compare(byte byte)"
sample_0010,apache/commons-lang,a4ba12e80c1b82b814b0165704934ef182ad069f,src/main/java/org/apache/commons/lang3/EnumUtils.java,method,stream,public static <T> Stream<T> stream(final Class<T> clazz),JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,,"org.apache.commons.lang3.EnumUtils.getFirstEnumIgnoreCase(Class<E> String, Function<E, String>, E) now returns the given default enum on null enumClass input"
