sample_id,repo,commit_hash,file_path,entity_type,entity_name,entity_signature,javadoc_change_type,method_change_type,issue_id,issue_summary
sample_0001,apache/commons-collections,a41f78960adaa726d49b54fe025977b1da604279,src/main/java/org/apache/commons/collections4/iterators/UnmodifiableIterator.java,class,UnmodifiableIterator,"public final class UnmodifiableIterator<E, T extends Iterator<? extends E>> implements Iterator<E>, Unmodifiable",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Add package private unwrap() method
sample_0002,apache/commons-collections,5479a7d765a3c5431eef56d90d9767666f39e89c,src/main/java/org/apache/commons/collections4/bloomfilter/BloomFilter.java,method,copy,T copy(),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Fix generic typing for BloomFilter.copy()
sample_0003,apache/commons-collections,5479a7d765a3c5431eef56d90d9767666f39e89c,src/main/java/org/apache/commons/collections4/bloomfilter/WrappedBloomFilter.java,class,WrappedBloomFilter,"public abstract class WrappedBloomFilter<T extends WrappedBloomFilter<T, W>, W extends BloomFilter<W>> implements BloomFilter<T>",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Fix generic typing for BloomFilter.copy()
sample_0004,apache/commons-collections,caa771abcd5e0e6b4278c8c606747866a1c76b05,src/main/java/org/apache/commons/collections4/bloomfilter/BloomFilterExtractor.java,method,flatten,default BloomFilter flatten(),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,BloomFilterExtractor.flatten() should throw an exception instead of returning null
sample_0005,apache/commons-collections,f5337f18c9af48058912504f5f7fc68cba4e3d60,src/main/java/org/apache/commons/collections4/bloomfilter/LayerManager.java,class,Builder,public static class Builder<T extends BloomFilter> implements Supplier<LayerManager<T>>,JAVADOC_MODIFICATION,METHOD_MODIFICATION,,LayerManager.Builder implements Supplier
sample_0006,apache/commons-collections,edcc524215ee7fcee714be5243cc4ff7883c4254,src/main/java/org/apache/commons/collections4/bloomfilter/LayerManager.java,method,LayerManager,"private LayerManager(final Supplier<T> filterSupplier, final Predicate<LayerManager<T>> extendCheck, final Consumer<Deque<T>> filterCleanup, final boolean initialize)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Push down null checks
sample_0007,apache/commons-collections,f17fbd5033af65b3be782b62f58dbc1353556dd2,src/main/java/org/apache/commons/collections4/Transformer.java,class,Transformer,"@Deprecated public interface Transformer<T, R> extends Function<T, R>",JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Deprecate Transformer in favor of java.util.function.Function
sample_0008,apache/commons-collections,c208c4adde093f930147c037852b67076d7a117a,src/main/java/org/apache/commons/collections4/Predicate.java,class,Predicate,@Deprecated public interface Predicate<T> extends java.util.function.Predicate<T>,JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Deprecate Predicate in favor of java.util.function.Predicate
sample_0009,apache/commons-collections,e5c3d7ec1215c2ae6a3b28fb83fbb98ac922fbdf,src/main/java/org/apache/commons/collections4/Factory.java,class,Factory,@Deprecated public interface Factory<T> extends Supplier<T>,JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Deprecate Factory in favor of java.util.function.Supplier
sample_0010,apache/commons-collections,c17637259bdc4e3bdeb2dfd2ea89fca1149a525d,src/main/java/org/apache/commons/collections4/Closure.java,class,Closure,@Deprecated public interface Closure<T> extends Consumer<T>,JAVADOC_MODIFICATION,METHOD_MODIFICATION,,Deprecate Closure in favor of java.util.function.Consumer
sample_0011,apache/commons-collections,488393e60081b89fb1178bd93a66f414008ea6e1,src/main/java/org/apache/commons/collections4/bloomfilter/CountingBloomFilter.java,method,merge,@Override default boolean merge(final IndexProducer indexProducer),JAVADOC_MODIFICATION,METHOD_MODIFICATION,COLLECTIONS-844,Allow counting Bloom filters with cell size other than Integer.SIZE
sample_0012,apache/commons-collections,488393e60081b89fb1178bd93a66f414008ea6e1,src/main/java/org/apache/commons/collections4/bloomfilter/CountingBloomFilter.java,method,remove,default boolean remove(final IndexProducer indexProducer),JAVADOC_MODIFICATION,METHOD_MODIFICATION,COLLECTIONS-844,Allow counting Bloom filters with cell size other than Integer.SIZE
sample_0013,apache/commons-collections,488393e60081b89fb1178bd93a66f414008ea6e1,src/main/java/org/apache/commons/collections4/bloomfilter/IndexProducer.java,method,asIndexArray,default int[] asIndexArray(),JAVADOC_MODIFICATION,METHOD_MODIFICATION,COLLECTIONS-844,Allow counting Bloom filters with cell size other than Integer.SIZE
sample_0014,apache/commons-collections,a1de787172664a63fd172571fc9779137568ece4,src/main/java/org/apache/commons/collections4/bloomfilter/BloomFilter.java,method,estimateN,default int estimateN(),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,"Collections-817: Update estimateN, estimateIntersection and estimateUnion"
sample_0015,apache/commons-collections,a1de787172664a63fd172571fc9779137568ece4,src/main/java/org/apache/commons/collections4/bloomfilter/BloomFilter.java,method,estimateIntersection,default int estimateIntersection(final BloomFilter other),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,"Collections-817: Update estimateN, estimateIntersection and estimateUnion"
sample_0016,apache/commons-collections,8246b4e6fafc7a32499c700fd35e510d9d62c38c,src/main/java/org/apache/commons/collections4/bloomfilter/BloomFilter.java,method,merge,default boolean merge(Hasher hasher),JAVADOC_MODIFICATION,METHOD_MODIFICATION,,replaced merge with old mergeInPlace
sample_0017,apache/commons-collections,87647d0812f3ec8f10ead3d2059e60801f7538b7,src/main/java/org/apache/commons/collections4/bloomfilter/BloomFilter.java,method,contains,default boolean contains(BloomFilter other),JAVADOC_MODIFICATION,METHOD_MODIFICATION,#258,Simplify bloom filters
